rank,image_id,image_path,CHAIRs,CHAIRi,hallucinated_pairs,hallucination_idxs,caption
1,277888,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000277888.jpg,1,1.0,elephant->elephant|owl->bird,23|39,"The image features a stuffed hamster in the center, surrounded by a group of stuffed animals. To the left, an elephant figurine is placed closely next to the hamster, while to the right, an owl and a chicken can be seen creating a playful scene. The stuffed"
2,479832,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000479832.jpg,1,1.0,truck->truck|bird->bird,11|23,"The image depicts an artistically decorated vehicle, potentially a large truck, covered fully from head to toe in graffiti. Several birds can be seen on both the vehicle and the surrounding area, making the scene appear lively and colorful.  Apart from the graffiti and presence"
3,456292,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000456292.jpg,1,1.0,cup->cup|wine glass->wine glass,32|51|55,"The image displays a black, graffiti-covered wall that has been drawn on with several pictures. The artwork features an array of designs, including circles, the profile of a cup, and the letter ""P."" The lower right side of the wall directly next to the cup illustration shows a wine glass"
4,101280,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000101280.jpg,1,1.0,dog->dog|kite->kite,19|48,"The image captures a calm beach filled with the gentle sound of waves crashing against the shoreline. A dog is sitting in the waves, observing the beach as the sea gently recedes. The beach is a fitting area to be outdoors, with a few kites flying in the sky,"
5,60434,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000060434.jpg,1,1.0,driver->person,38,"The image shows a pole with street signs and a sign for parking removal. The pole holds a yellow street sign on top of it, and another smaller sign is below it, adding information for drivers. Additionally, there is a black no parking sign near the street signs, indicating that parking is not allowed in"
6,189698,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000189698.jpg,1,1.0,car->car,13|27|47,"The scene displays a peaceful street located near an intersection. A brown car is driving down the road, turning onto Bodacious Drive. The brown car is the lone vehicle in view, traveling on the empty road.  The image also features a silver car driving in another direction, even further down the"
7,120388,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000120388.jpg,1,1.0,scissors->scissors,58,"In the image, there is a large, grassy field with an array of openings. One such opening in the grass is placed on the left side where a piece of paper, possibly a dollar bill, is displayed. Another prominent opening in the grass appears to the left of a closed pair of scissors"
8,78947,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000078947.jpg,1,1.0,stop sign->stop sign,4|42,"The image features a stop sign attached to a metal pole, with a California street sign placed directly underneath it. The California street sign displays the number 2213 and indicates that it's located near 9100 W. California St. The stop sign is attached to a pole along with"
9,8457,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000008457.jpg,1,1.0,sheep->sheep,4|14|29,"The image portrays two sheep in a vast, lush green field. One sheep is situated closer to the left side of the field, while the other sheep is on the right side. They appear to be grazing on the grass in the natural open area. The field also provides a sense of tranquility"
10,305343,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000305343.jpg,1,0.8,vase->vase|cat->cat,30|39|42|52,"The image features two decorative ceramic vases placed on a surface, one closer to the left edge of the scene and the other towards the right edge. Each vase is adorned with animal prints, with one vase featuring a cat design and the other a bird design.  The cat v"
11,365822,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000365822.jpg,1,0.75,refrigerator->refrigerator|microwave->microwave,17|39|46,"The image shows a small, cluttered, and messy kitchen filled with various items. A refrigerator can be seen on the left side of the room, where a bottle is also placed. There is a microwave on the counter, and another microwave is mounted on the wall above"
12,537611,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000537611.jpg,1,0.6666666666666666,people->person|person->person|suitcase->suitcase,23|31|39|50,"The scene features a black Harley Davidson motorcycle with various parts attached, parked next to a brick wall. There are several people visible in the image, including one person standing directly behind the motorcycle and another person on the right side.   Additionally, there are multiple suitcases of different sizes"
13,242465,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000242465.jpg,1,0.6666666666666666,people->person|umbrella->umbrella,38|41,"The image is of a wet street with a red stop sign prominently placed. A sign advertising a painting service stands nearby, which is also drenched with rain. Additionally, there is a group of people and an umbrella located towards the right side of the scene, possibly waiting for the rain to"
14,571437,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000571437.jpg,1,0.6666666666666666,table->dining table,5|25,"The image displays a dining table with a serving of delicious fruit and vegetables. There is a ripe peeled mango placed centrally on the table, surrounded by a group of fresh ingredients. Three broccoli stalks are positioned around the mango, bringing a vibr"
15,456446,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000456446.jpg,1,0.6666666666666666,surfboard->surfboard,10|32,"In the image, a man is surfing on a surfboard amidst a turbulent and choppy ocean, riding the waves as the water sprays into the air. He holds the surfboard with one hand, displaying skill and balance while standing on it. The scale of the scene"
16,331329,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000331329.jpg,1,0.6666666666666666,bird->bird,31|40,"The image features a zebra standing on a lush green grassy hill amidst tall trees, bushes, and flowers. It appears majestic, enjoying the beautiful surroundings.   Several birds are present in the scene, with four birds situated at the lower part of the image"
17,63791,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000063791.jpg,1,0.6666666666666666,frisbee->frisbee,12|47,"The image features a group of young men playing a game of frisbee on a grassy field or park. They appear to be enjoying themselves, as they participate in the fun activity together. One person is standing apart from the group and holding a frisbee, while the others are scattered across"
18,386962,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000386962.jpg,1,0.5,tie->tie|handbag->handbag,20|40,"The image shows a red trunk next to a pair of yellow shoes. The red suitcase appears to be tied, showcasing a sense of adventure. In the vicinity of the red suitcase, a pair of two handbags - one yellow and one pink - can be seen, placed"
19,236739,/home/ciram25-liurp/dataset/coco/val2014/COCO_val2014_000000236739.jpg,1,0.5,orange->orange|person->person,26|41,"The image displays a double-decker bus traveling on a large bridge with the city below. The bus is prominently in the foreground, a large orange and yellow vehicle, indicating that it could be in England. A small person can also be seen in the image, likely marveling at the impress"
