image_id,hallu_cnt,chairi,hallu_words,pred_caption,gt_1,gt_2,gt_3,gt_4,gt_5
223626,4,0.6666666666666666,toilet|knife|fork|bottle,"The scene features a small black cat sitting on a kitchen counter and next to a large kitchen sponge. Below the cat, there is a toilet paper roll and a pot of water. The kitchen counter is dominated by kitchen objects, such as knives, forks, and bottles, and",a cat sitting on a counter top next to a stove below an oven mitt with a cat design on it.,A small black cat is sitting next to a stove. ,A black cat sits on a stove counter.,A black cat sitting on top of a stove top next to a tiled wall.,A can sitting on a kitchen counter under a cat oven mitt.
214869,4,0.5,handbag|handbag|handbag|handbag,"The image features a woman in a floral shirt reaching into her purse, which appears to hold a phone. She is likely accessing the phone in her purse with a finger. Additionally, the purse also contains a wallet that can be seen near the phone in her hand. There are multiple hands",A woman sitting down with a large cell phone holder on her pants.,A close shot of someone pointing to their cased Alltel phone. ,"A person has their cell phone clipped to their belt,",Someone pointing at their cell phone in a case on their hip.,The woman is pointing to a phone in a cover.
45229,3,1.0,orange|chair|cup,"The image depicts a small kitchen with a window as its focal point. The vintage orange chest of drawers stands close to the window, placed next to a chair. There are various knick-knacks on top of the drawers, with several cups scattered throughout the room.",A kitchen filled with a wooden cabinet and a large window.,Picture of a kitchen with some plants and a window.,The top window in a kitchen is open.,"An apartment room with a stove, spices, and bookcase.",A small kitchen area features a foggy glass window. 
236739,3,1.0,traffic light|car|car,"The image showcases a beautiful bridge, positioned over water, with a traffic signal shining brightly on a distant side of the bridge. There are several vehicles on or under the bridge, with several cars located on the far side of the structure and one car passing by close to the center of the bridge.",A view of a bus traveling on top of a bridge.,A large bridge over a body of water.,a calm river has a bridge reflected in it,A red bus passing on bridge over water.,A tall bridge spanning the width of a bridge.
209930,3,0.75,bench|chair|bench,"The scene is an outdoor view of a baseball field filled with large wooden benches for fans. Above the field, there is a large electronic scoreboard displaying the score. The field is lined up with baseball players and several spectators are seated on the benches, enjoying a game at the",Sky view of a baseball field and scoreboard.,A baseball field with a large tv in the background,Players and fans at a football stadium prepare for a forthcoming game.,Many players are standing in the outfield of a baseball diamond.,A view of  a game being played in a very big stadium.
203483,3,0.75,bus|bus|bus,"A white and yellow parking meter stands in front of a moving bus near a street intersection. The bus appears to be passing through the area as it moves towards the right side of the image. The meter is positioned to the left of the street, near the intersection, with the bus blurred by motion",a yellow pole that has a meter on top of it,A meter in front of a train speeding by. ,A parking meter stands next to a busy road.,a parking vendor sits next to a moving train ,A parking meter with traffic caught going in motion behind it.
150779,2,1.0,couch|chair,"The image features an empty street at night with a trash can labeled ""dead end"". The trash can sits on the corner of the street near the curb, surrounded by a pile of old furniture, including sofas and chairs. Trees are visible in the background, giving",A dead end street sign sitting next to abandoned furniture and garbage,a dead end street with trash laying out on the corner ,a street with garbage cans and street signs in the dark hours,Furniture sits at the end of the street.,Junk sits on a street next to a Dead End sign.
571598,2,1.0,cell phone|cell phone,"The image shows three men standing in a crowded room, all smiling and enjoying themselves. Two of the men are together holding Nintendo Wii controllers, while the third is holding a phone close to his ear. The controllers are positioned at the front of the group, and the phone is placed near",three men smiling holding a wii controller in their hands,Three men each holding something and posing for a picture.,A group of three men standing next to each other.,Three men holding WiiMotes at a trade show.,Those look like remote or game controls in their hands.
532142,2,0.6666666666666666,motorcycle|traffic light,"The image depicts a bustling urban area, with a train making its way near a set of streetcar tracks located in front of some buildings. Several motorbikes are scattered around the scene, with a mix of colors and sizes. Additionally, several traffic lights can be seen suspended above the track",A trolley for Adventure World on its track,"A small street car on tracks and a connection above, on a street.",A street trolley making its way down a city street.,A large white train on a city street.,A white and black trolly in street with building in the background.
414560,2,0.6666666666666666,bottle|cup,"The image depicts two cows, one on the left side and the other near the center, lying on straw bales within a small, fenced area. The straw is covered in hay, giving the space a cozy and comfortable atmosphere. Four bottles and another cup can be seen scattered",there are many cows that are laying in this barn,Three cows are tied up in a barn and standing in the hay.,three black and white cows are resting in hat,Small group of cows laying on hay inside of a pen.,Black and white cows sit in a pile of hay.
402357,2,0.5,truck|truck,"The photo showcases an adult elephant standing at a stone wall. It's walking toward a wooden gate, looking slightly toward its left side, near a truck parked outside the fence. The truck appears to be passing by, moving in the direction of the elephant. The ele",An elephant in a zoo walks toward the camera. ,An elephant with tusks walks on concrete and rocky walls and boulders are near him.,A captive elephant stands in the sunshine as it looks at the camera in the zoo. ,A medium sized elephant walking in his enclosure,A gray elephant is standing in a zoo enclosure.
431159,2,0.5,chair|person,"The image features an elephant standing in a large enclosure near a body of water. The elephant is walking down a dirt path between two small pools of water. There are several chairs scattered around the enclosure, providing a place for people to observe and enjoy the presence of the ele",An elephant in a zoo near a watering hole.,An elephant walking away from a pool in an exhibit.,An elephant by a little pool of water,A fenced in elephant in front of a pond. ,A elephant walking away from a watering hole in a zoo enclosure.
435894,2,0.5,person|dog,"The image features a snowy landscape with a snowboard placed inside a tent. The snowboard is on a black plate, which suggests that it is being stored in the tent for protection from the elements. There is a person or dog in the same area, but it is difficult to distinguish whether they are interacting",A black cat atop a fallen tent flap.,A snowboard is seen laying on another piece of equipment.,A snowboard holds down fabric fastened to a structure.,the snowboard is holding down the edge of the tent ,A snowboard sitting on top of a tent.
492163,2,0.5,bus|car,"The image showcases a classic fire hydrant with an open cap positioned near a crosswalk on the corner of a street. The hydrant has a small, raised plaque showing the street name, ""150"" on top. A bus is driving in the background, and there are several other cars",A silver and rusted colored fire hydrant sitting next to a crosswalk.,an old metal fire hydrant sitting by the curb and a crosswalk ,A fire hydrant is sitting on a sidewalk.,"This fire hydrant is predominately silver in color, a cross walk can be seen in the background.",a fire hydrant sits next to a city street 
187352,2,0.5,cup|bottle,The image captures a man in a yellow shirt and blue shorts playing a game of tennis at the tennis court. He is serving the ball and reaching towards it with his arm. There are two cups on the ground near the tennis court and a bottle placed on the right side of the tennis court,The young man tennis player is serving the ball.,a man is getting ready to serve a tennis ball,A man about to hit a tennis ball in the air.,A man gets ready to swing a tennis racket.,a man holding a tennis racquet on a tennis court.
4620,2,0.5,person|fire hydrant,"The image features a parking meter sitting beside the sidewalk, next to the street. The meter has a unique design, featuring two large, distinct circles where people would typically pay to park. Two cars are parked in the background, likely leaving space for the meters. There's a fire hydrant on",A close up photo of parking meter on a street. ,Two parking meters are on top of a pole,A parking meter sits beside a street intersection where cars are parked.,a parking meter with two meters and both have some time on them,Parking meters with approximately 40 minutes left on them.
516408,2,0.5,handbag|chair,"The image features a scene where a small white cat leisurely watches a television from a vantage point on the floor by a wooden cabinet. There are two handbags placed nearby, one towards the left corner and the other towards the right corner. A chair rests on the far right side of",A cat standing on two legs near a tv.,this is a cat watching a tv in a living room,a cat standing very close to a tv ,A white cat standing in front of a TV.,A big screen TV attracts the inquisitive cat.
231237,2,0.5,bowl|bottle,"The image presents a vase with a variety of red flowers that are perfectly arranged on top of a kitchen counter. The flowers are vibrant, providing a beautiful centerpiece for the scene. The vase is nestled among various objects in the kitchen, including a bowl and a bottle, making",A vase with various flowers in it sitting on a tiled counter.,A vase with flowers inside and some strange growth at the base.,Flower are placed in a vase covered in shells.,A vase with red flowers in it on a table.,A bunch of small red flowers in a barnacle encrusted clay vase 
